year,Chere
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,7
1939,0
1940,7
1941,6
1942,8
1943,12
1944,16
1945,23
1946,15
1947,24
1948,18
1949,24
1950,27
1951,33
1952,30
1953,12
1954,49
1955,29
1956,30
1957,26
1958,26
1959,30
1960,32
1961,25
1962,20
1963,16
1964,18
1965,28
1966,23
1967,42
1968,47
1969,42
1970,49
1971,24
1972,35
1973,33
1974,30
1975,26
1976,31
1977,27
1978,28
1979,21
1980,25
1981,22
1982,30
1983,26
1984,22
1985,16
1986,18
1987,27
1988,21
1989,18
1990,12
1991,16
1992,10
1993,12
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,8
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
