year,Caridad
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,6
1928,7
1929,5
1930,5
1931,0
1932,6
1933,5
1934,8
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,7
1950,7
1951,5
1952,10
1953,7
1954,11
1955,15
1956,12
1957,16
1958,18
1959,19
1960,14
1961,24
1962,29
1963,30
1964,35
1965,26
1966,29
1967,51
1968,41
1969,38
1970,39
1971,59
1972,43
1973,43
1974,38
1975,53
1976,57
1977,58
1978,46
1979,42
1980,45
1981,39
1982,47
1983,54
1984,46
1985,31
1986,31
1987,30
1988,30
1989,38
1990,27
1991,31
1992,20
1993,30
1994,36
1995,26
1996,19
1997,19
1998,18
1999,14
2000,16
2001,10
2002,5
2003,9
2004,13
2005,12
2006,11
2007,5
2008,8
2009,9
2010,5
2011,7
2012,6
