year,Chastity
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,7
1970,40
1971,50
1972,220
1973,544
1974,749
1975,679
1976,747
1977,510
1978,383
1979,428
1980,319
1981,283
1982,285
1983,243
1984,214
1985,240
1986,191
1987,172
1988,221
1989,203
1990,209
1991,219
1992,192
1993,219
1994,182
1995,157
1996,152
1997,126
1998,163
1999,183
2000,162
2001,127
2002,100
2003,81
2004,92
2005,86
2006,88
2007,64
2008,52
2009,31
2010,27
2011,43
2012,30
