year,Chava
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,6
1952,0
1953,0
1954,6
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,6
1962,7
1963,5
1964,11
1965,0
1966,11
1967,0
1968,7
1969,9
1970,9
1971,16
1972,17
1973,24
1974,22
1975,18
1976,28
1977,24
1978,23
1979,31
1980,26
1981,35
1982,29
1983,37
1984,41
1985,32
1986,41
1987,48
1988,37
1989,43
1990,45
1991,42
1992,34
1993,42
1994,42
1995,43
1996,55
1997,40
1998,52
1999,38
2000,47
2001,59
2002,55
2003,72
2004,68
2005,72
2006,79
2007,95
2008,84
2009,87
2010,95
2011,98
2012,97
