year,Colonel
1880,11
1881,14
1882,14
1883,10
1884,9
1885,11
1886,6
1887,10
1888,11
1889,9
1890,6
1891,19
1892,10
1893,7
1894,6
1895,11
1896,6
1897,7
1898,9
1899,0
1900,9
1901,9
1902,0
1903,0
1904,7
1905,0
1906,7
1907,5
1908,5
1909,0
1910,9
1911,6
1912,19
1913,18
1914,21
1915,27
1916,31
1917,24
1918,28
1919,29
1920,37
1921,35
1922,27
1923,24
1924,33
1925,18
1926,28
1927,19
1928,31
1929,22
1930,13
1931,13
1932,24
1933,19
1934,15
1935,13
1936,18
1937,19
1938,10
1939,20
1940,16
1941,17
1942,13
1943,15
1944,17
1945,22
1946,14
1947,21
1948,8
1949,15
1950,14
1951,10
1952,10
1953,14
1954,13
1955,20
1956,14
1957,7
1958,8
1959,0
1960,12
1961,8
1962,8
1963,7
1964,5
1965,5
1966,5
1967,9
1968,6
1969,0
1970,6
1971,8
1972,0
1973,7
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,6
1981,6
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
