year,Cerise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,5
1952,12
1953,6
1954,9
1955,29
1956,6
1957,18
1958,8
1959,10
1960,7
1961,13
1962,12
1963,7
1964,6
1965,11
1966,10
1967,13
1968,7
1969,9
1970,12
1971,15
1972,9
1973,15
1974,14
1975,11
1976,11
1977,14
1978,13
1979,13
1980,17
1981,12
1982,14
1983,13
1984,13
1985,9
1986,12
1987,17
1988,0
1989,18
1990,12
1991,9
1992,16
1993,7
1994,9
1995,13
1996,8
1997,9
1998,9
1999,8
2000,9
2001,12
2002,11
2003,11
2004,6
2005,5
2006,10
2007,11
2008,7
2009,14
2010,10
2011,0
2012,8
