year,Chandler (F),Chandler (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000012
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000018
1913,0.000000,0.000008
1914,0.000000,0.000016
1915,0.000000,0.000013
1916,0.000000,0.000013
1917,0.000000,0.000014
1918,0.000000,0.000012
1919,0.000000,0.000017
1920,0.000000,0.000017
1921,0.000000,0.000011
1922,0.000000,0.000016
1923,0.000000,0.000011
1924,0.000000,0.000011
1925,0.000000,0.000012
1926,0.000000,0.000012
1927,0.000000,0.000012
1928,0.000000,0.000010
1929,0.000000,0.000010
1930,0.000000,0.000006
1931,0.000000,0.000013
1932,0.000000,0.000009
1933,0.000000,0.000013
1934,0.000000,0.000014
1935,0.000000,0.000012
1936,0.000000,0.000010
1937,0.000000,0.000011
1938,0.000000,0.000007
1939,0.000000,0.000010
1940,0.000000,0.000005
1941,0.000000,0.000006
1942,0.000000,0.000009
1943,0.000000,0.000008
1944,0.000000,0.000007
1945,0.000000,0.000007
1946,0.000000,0.000007
1947,0.000000,0.000009
1948,0.000000,0.000006
1949,0.000000,0.000006
1950,0.000000,0.000006
1951,0.000000,0.000006
1952,0.000000,0.000004
1953,0.000000,0.000004
1954,0.000000,0.000006
1955,0.000000,0.000006
1956,0.000000,0.000006
1957,0.000000,0.000008
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000007
1961,0.000000,0.000007
1962,0.000002,0.000007
1963,0.000000,0.000008
1964,0.000000,0.000008
1965,0.000000,0.000007
1966,0.000000,0.000009
1967,0.000000,0.000015
1968,0.000000,0.000015
1969,0.000000,0.000024
1970,0.000001,0.000029
1971,0.000000,0.000029
1972,0.000002,0.000030
1973,0.000002,0.000020
1974,0.000003,0.000015
1975,0.000000,0.000022
1976,0.000002,0.000022
1977,0.000002,0.000015
1978,0.000002,0.000020
1979,0.000002,0.000021
1980,0.000006,0.000019
1981,0.000005,0.000020
1982,0.000005,0.000026
1983,0.000006,0.000025
1984,0.000005,0.000033
1985,0.000004,0.000034
1986,0.000006,0.000040
1987,0.000010,0.000055
1988,0.000011,0.000061
1989,0.000017,0.000078
1990,0.000021,0.000100
1991,0.000023,0.000120
1992,0.000114,0.000144
1993,0.000195,0.000175
1994,0.000153,0.000189
1995,0.000203,0.000507
1996,0.000135,0.000599
1997,0.000115,0.000496
1998,0.000112,0.000531
1999,0.000121,0.000649
2000,0.000086,0.000564
2001,0.000064,0.000479
2002,0.000060,0.000379
2003,0.000045,0.000334
2004,0.000036,0.000296
2005,0.000040,0.000227
2006,0.000033,0.000191
2007,0.000034,0.000169
2008,0.000031,0.000155
2009,0.000026,0.000152
2010,0.000031,0.000142
2011,0.000038,0.000168
2012,0.000044,0.000164
