year,Cally
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,0
1951,7
1952,8
1953,8
1954,8
1955,6
1956,0
1957,8
1958,0
1959,7
1960,15
1961,12
1962,13
1963,19
1964,11
1965,11
1966,6
1967,8
1968,10
1969,10
1970,16
1971,10
1972,12
1973,17
1974,26
1975,22
1976,24
1977,26
1978,21
1979,22
1980,26
1981,23
1982,30
1983,28
1984,27
1985,40
1986,36
1987,33
1988,32
1989,95
1990,114
1991,76
1992,54
1993,42
1994,35
1995,38
1996,31
1997,38
1998,45
1999,39
2000,35
2001,35
2002,26
2003,28
2004,28
2005,36
2006,26
2007,30
2008,35
2009,25
2010,21
2011,30
2012,23
