year,Conley (F),Conley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000024
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000018
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000024
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000013
1904,0.000000,0.000012
1905,0.000000,0.000028
1906,0.000000,0.000016
1907,0.000000,0.000015
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000020
1911,0.000000,0.000014
1912,0.000000,0.000015
1913,0.000000,0.000016
1914,0.000000,0.000020
1915,0.000000,0.000024
1916,0.000000,0.000023
1917,0.000000,0.000019
1918,0.000000,0.000018
1919,0.000000,0.000017
1920,0.000000,0.000016
1921,0.000000,0.000017
1922,0.000000,0.000018
1923,0.000000,0.000017
1924,0.000000,0.000023
1925,0.000000,0.000019
1926,0.000000,0.000018
1927,0.000000,0.000020
1928,0.000000,0.000017
1929,0.000000,0.000022
1930,0.000000,0.000021
1931,0.000000,0.000020
1932,0.000000,0.000021
1933,0.000000,0.000022
1934,0.000000,0.000024
1935,0.000000,0.000017
1936,0.000000,0.000016
1937,0.000000,0.000013
1938,0.000000,0.000017
1939,0.000000,0.000023
1940,0.000000,0.000014
1941,0.000000,0.000015
1942,0.000000,0.000015
1943,0.000000,0.000015
1944,0.000000,0.000020
1945,0.000000,0.000014
1946,0.000000,0.000017
1947,0.000000,0.000011
1948,0.000000,0.000015
1949,0.000000,0.000015
1950,0.000000,0.000010
1951,0.000000,0.000011
1952,0.000000,0.000008
1953,0.000000,0.000010
1954,0.000000,0.000009
1955,0.000000,0.000008
1956,0.000000,0.000006
1957,0.000000,0.000007
1958,0.000000,0.000008
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000004
1962,0.000000,0.000005
1963,0.000001,0.000008
1964,0.000000,0.000004
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000007
1968,0.000000,0.000009
1969,0.000000,0.000005
1970,0.000000,0.000006
1971,0.000000,0.000005
1972,0.000000,0.000007
1973,0.000000,0.000009
1974,0.000000,0.000004
1975,0.000000,0.000005
1976,0.000000,0.000007
1977,0.000000,0.000003
1978,0.000000,0.000004
1979,0.000000,0.000004
1980,0.000000,0.000003
1981,0.000000,0.000005
1982,0.000000,0.000006
1983,0.000000,0.000005
1984,0.000000,0.000003
1985,0.000000,0.000003
1986,0.000000,0.000006
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000000,0.000004
1990,0.000000,0.000004
1991,0.000001,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000005
1994,0.000002,0.000006
1995,0.000003,0.000007
1996,0.000000,0.000005
1997,0.000003,0.000007
1998,0.000002,0.000006
1999,0.000001,0.000008
2000,0.000000,0.000007
2001,0.000001,0.000006
2002,0.000002,0.000008
2003,0.000002,0.000009
2004,0.000002,0.000006
2005,0.000003,0.000007
2006,0.000002,0.000007
2007,0.000004,0.000010
2008,0.000002,0.000010
2009,0.000003,0.000012
2010,0.000003,0.000018
2011,0.000006,0.000021
2012,0.000004,0.000019
2013,0.000005,0.000016
2014,0.000005,0.000019
2015,0.000005,0.000020
2016,0.000007,0.000021
2017,0.000009,0.000020
2018,0.000004,0.000015
2019,0.000012,0.000017
2020,0.000011,0.000015
