year,Courtland
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,6
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,10
1913,11
1914,19
1915,14
1916,14
1917,10
1918,29
1919,17
1920,24
1921,25
1922,15
1923,23
1924,22
1925,24
1926,19
1927,12
1928,18
1929,17
1930,22
1931,19
1932,14
1933,13
1934,12
1935,14
1936,16
1937,8
1938,14
1939,14
1940,10
1941,14
1942,25
1943,20
1944,23
1945,13
1946,19
1947,21
1948,17
1949,15
1950,21
1951,23
1952,23
1953,17
1954,18
1955,15
1956,14
1957,11
1958,21
1959,9
1960,16
1961,12
1962,14
1963,18
1964,28
1965,13
1966,14
1967,22
1968,19
1969,18
1970,36
1971,32
1972,29
1973,31
1974,30
1975,24
1976,26
1977,38
1978,23
1979,47
1980,45
1981,41
1982,32
1983,27
1984,38
1985,57
1986,47
1987,68
1988,80
1989,60
1990,87
1991,125
1992,115
1993,132
1994,110
1995,109
1996,137
1997,138
1998,103
1999,74
2000,72
2001,59
2002,53
2003,46
2004,41
2005,44
2006,37
2007,49
2008,40
2009,44
2010,33
2011,65
2012,46
