year,Clarita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,8
1914,6
1915,0
1916,8
1917,11
1918,11
1919,8
1920,11
1921,9
1922,10
1923,18
1924,14
1925,7
1926,12
1927,11
1928,13
1929,15
1930,14
1931,16
1932,31
1933,24
1934,18
1935,16
1936,12
1937,18
1938,17
1939,16
1940,22
1941,16
1942,6
1943,19
1944,8
1945,17
1946,12
1947,12
1948,14
1949,10
1950,12
1951,17
1952,13
1953,16
1954,18
1955,12
1956,5
1957,14
1958,15
1959,18
1960,12
1961,15
1962,12
1963,9
1964,13
1965,8
1966,13
1967,8
1968,7
1969,13
1970,14
1971,12
1972,10
1973,6
1974,10
1975,9
1976,10
1977,11
1978,9
1979,8
1980,9
1981,17
1982,6
1983,14
1984,8
1985,0
1986,9
1987,10
1988,7
1989,7
1990,5
1991,9
1992,9
1993,5
1994,0
1995,11
1996,15
1997,13
1998,14
1999,7
2000,15
2001,7
2002,10
2003,9
2004,9
2005,20
2006,7
2007,11
2008,12
2009,8
2010,10
2011,0
2012,8
