year,Cassondra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,5
1951,7
1952,0
1953,0
1954,0
1955,7
1956,9
1957,8
1958,8
1959,7
1960,11
1961,6
1962,20
1963,10
1964,26
1965,21
1966,19
1967,42
1968,39
1969,49
1970,49
1971,54
1972,47
1973,43
1974,41
1975,48
1976,30
1977,33
1978,46
1979,68
1980,63
1981,68
1982,186
1983,155
1984,139
1985,167
1986,194
1987,170
1988,190
1989,313
1990,287
1991,267
1992,225
1993,175
1994,154
1995,116
1996,118
1997,78
1998,72
1999,74
2000,65
2001,45
2002,39
2003,44
2004,27
2005,28
2006,24
2007,13
2008,11
2009,16
2010,11
2011,8
2012,0
