year,Chalmer
1880,0
1881,7
1882,0
1883,0
1884,0
1885,0
1886,5
1887,7
1888,5
1889,6
1890,8
1891,7
1892,0
1893,7
1894,0
1895,6
1896,7
1897,0
1898,5
1899,0
1900,0
1901,8
1902,6
1903,6
1904,8
1905,7
1906,5
1907,6
1908,6
1909,5
1910,0
1911,16
1912,22
1913,21
1914,32
1915,52
1916,43
1917,49
1918,56
1919,35
1920,54
1921,51
1922,38
1923,47
1924,37
1925,45
1926,36
1927,32
1928,25
1929,26
1930,33
1931,30
1932,17
1933,30
1934,19
1935,27
1936,25
1937,23
1938,28
1939,17
1940,23
1941,19
1942,18
1943,12
1944,16
1945,9
1946,16
1947,10
1948,11
1949,19
1950,8
1951,14
1952,10
1953,7
1954,7
1955,11
1956,9
1957,9
1958,0
1959,0
1960,6
1961,6
1962,6
1963,0
1964,12
1965,6
1966,0
1967,7
1968,5
1969,6
1970,6
1971,6
1972,7
1973,6
1974,0
1975,5
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
