year,Charlaine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,11
1929,11
1930,9
1931,0
1932,9
1933,8
1934,9
1935,19
1936,18
1937,11
1938,7
1939,8
1940,7
1941,10
1942,8
1943,10
1944,8
1945,10
1946,14
1947,13
1948,17
1949,9
1950,16
1951,13
1952,14
1953,10
1954,13
1955,11
1956,0
1957,6
1958,6
1959,8
1960,0
1961,7
1962,6
1963,0
1964,8
1965,0
1966,6
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,8
1979,6
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,8
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
