year,Cyrena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,5
1920,0
1921,6
1922,0
1923,8
1924,0
1925,0
1926,0
1927,0
1928,5
1929,5
1930,6
1931,5
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,12
1939,0
1940,0
1941,0
1942,5
1943,0
1944,7
1945,5
1946,5
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,8
1954,0
1955,6
1956,9
1957,6
1958,6
1959,8
1960,6
1961,0
1962,5
1963,0
1964,12
1965,7
1966,8
1967,5
1968,14
1969,8
1970,12
1971,8
1972,11
1973,5
1974,10
1975,11
1976,10
1977,8
1978,8
1979,21
1980,18
1981,23
1982,13
1983,17
1984,22
1985,18
1986,12
1987,6
1988,11
1989,21
1990,7
1991,23
1992,14
1993,29
1994,17
1995,25
1996,16
1997,26
1998,21
1999,28
2000,16
2001,11
2002,17
2003,8
2004,9
2005,9
2006,6
2007,8
2008,6
2009,6
2010,0
2011,5
2012,11
