year,Celinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,7
1940,0
1941,8
1942,10
1943,6
1944,8
1945,9
1946,8
1947,17
1948,15
1949,17
1950,24
1951,22
1952,22
1953,29
1954,34
1955,25
1956,20
1957,26
1958,23
1959,24
1960,25
1961,26
1962,18
1963,24
1964,23
1965,15
1966,19
1967,17
1968,28
1969,29
1970,26
1971,26
1972,18
1973,17
1974,22
1975,12
1976,20
1977,22
1978,14
1979,16
1980,18
1981,11
1982,12
1983,15
1984,19
1985,12
1986,11
1987,14
1988,6
1989,11
1990,8
1991,10
1992,11
1993,13
1994,13
1995,6
1996,11
1997,7
1998,13
1999,10
2000,8
2001,8
2002,10
2003,7
2004,0
2005,0
2006,0
2007,5
2008,0
2009,7
2010,0
2011,6
2012,9
