year,Clive
1880,0
1881,0
1882,0
1883,0
1884,0
1885,5
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,5
1895,7
1896,6
1897,8
1898,0
1899,8
1900,5
1901,0
1902,0
1903,0
1904,5
1905,0
1906,11
1907,0
1908,8
1909,6
1910,8
1911,0
1912,10
1913,14
1914,19
1915,34
1916,18
1917,28
1918,31
1919,28
1920,26
1921,26
1922,27
1923,30
1924,31
1925,27
1926,26
1927,23
1928,27
1929,27
1930,50
1931,51
1932,39
1933,40
1934,36
1935,41
1936,28
1937,34
1938,27
1939,25
1940,19
1941,20
1942,41
1943,25
1944,24
1945,23
1946,29
1947,38
1948,24
1949,22
1950,19
1951,30
1952,27
1953,22
1954,23
1955,27
1956,18
1957,18
1958,19
1959,17
1960,19
1961,16
1962,11
1963,27
1964,17
1965,8
1966,11
1967,14
1968,12
1969,7
1970,10
1971,13
1972,0
1973,9
1974,10
1975,12
1976,6
1977,14
1978,13
1979,13
1980,11
1981,15
1982,9
1983,18
1984,18
1985,13
1986,18
1987,18
1988,24
1989,11
1990,27
1991,37
1992,23
1993,15
1994,16
1995,19
1996,12
1997,22
1998,12
1999,17
2000,18
2001,9
2002,14
2003,18
2004,20
2005,21
2006,38
2007,45
2008,49
2009,56
2010,57
2011,53
2012,66
