year,Channing (F),Channing (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000007
1916,0.000000,0.000003
1917,0.000000,0.000003
1918,0.000000,0.000005
1919,0.000000,0.000005
1920,0.000000,0.000007
1921,0.000000,0.000006
1922,0.000000,0.000003
1923,0.000000,0.000006
1924,0.000000,0.000006
1925,0.000000,0.000006
1926,0.000000,0.000006
1927,0.000000,0.000006
1928,0.000000,0.000006
1929,0.000000,0.000004
1930,0.000000,0.000005
1931,0.000000,0.000006
1932,0.000000,0.000007
1933,0.000000,0.000006
1934,0.000000,0.000002
1935,0.000000,0.000005
1936,0.000000,0.000003
1937,0.000000,0.000000
1938,0.000000,0.000003
1939,0.000000,0.000000
1940,0.000000,0.000002
1941,0.000000,0.000003
1942,0.000000,0.000003
1943,0.000000,0.000005
1944,0.000000,0.000000
1945,0.000000,0.000003
1946,0.000000,0.000004
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000000,0.000000
1950,0.000000,0.000003
1951,0.000000,0.000002
1952,0.000000,0.000003
1953,0.000000,0.000004
1954,0.000000,0.000002
1955,0.000000,0.000002
1956,0.000000,0.000003
1957,0.000000,0.000002
1958,0.000000,0.000003
1959,0.000000,0.000003
1960,0.000000,0.000002
1961,0.000000,0.000004
1962,0.000000,0.000004
1963,0.000000,0.000004
1964,0.000000,0.000008
1965,0.000000,0.000003
1966,0.000000,0.000007
1967,0.000000,0.000009
1968,0.000000,0.000010
1969,0.000003,0.000013
1970,0.000000,0.000013
1971,0.000002,0.000016
1972,0.000003,0.000015
1973,0.000003,0.000013
1974,0.000002,0.000015
1975,0.000004,0.000013
1976,0.000004,0.000012
1977,0.000005,0.000010
1978,0.000007,0.000011
1979,0.000005,0.000012
1980,0.000007,0.000011
1981,0.000004,0.000007
1982,0.000003,0.000010
1983,0.000006,0.000008
1984,0.000005,0.000019
1985,0.000010,0.000035
1986,0.000020,0.000031
1987,0.000092,0.000031
1988,0.000034,0.000028
1989,0.000021,0.000029
1990,0.000016,0.000030
1991,0.000019,0.000031
1992,0.000024,0.000037
1993,0.000019,0.000023
1994,0.000025,0.000023
1995,0.000019,0.000013
1996,0.000016,0.000015
1997,0.000016,0.000015
1998,0.000015,0.000016
1999,0.000017,0.000013
2000,0.000017,0.000013
2001,0.000015,0.000017
2002,0.000015,0.000013
2003,0.000013,0.000012
2004,0.000014,0.000010
2005,0.000020,0.000015
2006,0.000019,0.000014
2007,0.000019,0.000027
2008,0.000019,0.000033
2009,0.000026,0.000043
2010,0.000055,0.000101
2011,0.000041,0.000096
2012,0.000047,0.000140
2013,0.000037,0.000129
2014,0.000033,0.000098
2015,0.000032,0.000081
2016,0.000026,0.000074
2017,0.000024,0.000065
2018,0.000022,0.000056
2019,0.000028,0.000047
2020,0.000031,0.000039
