year,Connie (F),Connie (M)
1880,0.000060,0.000035
1881,0.000062,0.000042
1882,0.000059,0.000032
1883,0.000041,0.000032
1884,0.000070,0.000037
1885,0.000091,0.000029
1886,0.000082,0.000023
1887,0.000085,0.000044
1888,0.000070,0.000017
1889,0.000090,0.000045
1890,0.000123,0.000030
1891,0.000108,0.000042
1892,0.000120,0.000033
1893,0.000120,0.000037
1894,0.000115,0.000018
1895,0.000114,0.000046
1896,0.000123,0.000028
1897,0.000138,0.000043
1898,0.000134,0.000026
1899,0.000153,0.000050
1900,0.000131,0.000044
1901,0.000121,0.000029
1902,0.000153,0.000041
1903,0.000205,0.000052
1904,0.000193,0.000027
1905,0.000175,0.000035
1906,0.000208,0.000049
1907,0.000221,0.000041
1908,0.000237,0.000033
1909,0.000256,0.000039
1910,0.000218,0.000037
1911,0.000234,0.000054
1912,0.000187,0.000047
1913,0.000201,0.000048
1914,0.000207,0.000044
1915,0.000183,0.000043
1916,0.000206,0.000040
1917,0.000208,0.000036
1918,0.000202,0.000050
1919,0.000206,0.000043
1920,0.000218,0.000042
1921,0.000227,0.000036
1922,0.000234,0.000037
1923,0.000250,0.000033
1924,0.000267,0.000038
1925,0.000289,0.000034
1926,0.000314,0.000042
1927,0.000320,0.000038
1928,0.000291,0.000039
1929,0.000303,0.000042
1930,0.000353,0.000060
1931,0.000473,0.000058
1932,0.000618,0.000047
1933,0.000660,0.000071
1934,0.000685,0.000068
1935,0.000736,0.000065
1936,0.000809,0.000063
1937,0.000896,0.000059
1938,0.001088,0.000066
1939,0.001042,0.000057
1940,0.001214,0.000069
1941,0.001316,0.000062
1942,0.001399,0.000060
1943,0.001598,0.000054
1944,0.001783,0.000053
1945,0.002012,0.000060
1946,0.002259,0.000055
1947,0.002399,0.000048
1948,0.002334,0.000050
1949,0.002358,0.000042
1950,0.002326,0.000039
1951,0.002369,0.000037
1952,0.002303,0.000033
1953,0.002228,0.000036
1954,0.002422,0.000028
1955,0.002485,0.000034
1956,0.002270,0.000025
1957,0.002086,0.000025
1958,0.001986,0.000024
1959,0.002084,0.000022
1960,0.002136,0.000024
1961,0.002170,0.000018
1962,0.002201,0.000013
1963,0.002062,0.000016
1964,0.001809,0.000014
1965,0.001697,0.000014
1966,0.001469,0.000012
1967,0.001348,0.000014
1968,0.001171,0.000011
1969,0.001020,0.000014
1970,0.000922,0.000009
1971,0.000802,0.000013
1972,0.000743,0.000009
1973,0.000643,0.000006
1974,0.000538,0.000005
1975,0.000466,0.000007
1976,0.000433,0.000010
1977,0.000381,0.000004
1978,0.000347,0.000005
1979,0.000284,0.000006
1980,0.000243,0.000005
1981,0.000221,0.000003
1982,0.000187,0.000005
1983,0.000179,0.000004
1984,0.000194,0.000003
1985,0.000159,0.000003
1986,0.000132,0.000004
1987,0.000141,0.000003
1988,0.000130,0.000002
1989,0.000136,0.000002
1990,0.000128,0.000000
1991,0.000111,0.000002
1992,0.000105,0.000002
1993,0.000105,0.000003
1994,0.000101,0.000001
1995,0.000082,0.000003
1996,0.000071,0.000000
1997,0.000059,0.000000
1998,0.000066,0.000000
1999,0.000053,0.000000
2000,0.000046,0.000000
2001,0.000048,0.000000
2002,0.000040,0.000000
2003,0.000041,0.000000
2004,0.000036,0.000000
2005,0.000034,0.000000
2006,0.000026,0.000000
2007,0.000027,0.000000
2008,0.000024,0.000000
2009,0.000026,0.000000
2010,0.000024,0.000000
2011,0.000021,0.000001
2012,0.000026,0.000000
