year,Capitola
1880,0
1881,0
1882,6
1883,0
1884,10
1885,6
1886,7
1887,9
1888,0
1889,9
1890,5
1891,8
1892,0
1893,5
1894,6
1895,9
1896,8
1897,0
1898,0
1899,9
1900,11
1901,0
1902,7
1903,13
1904,10
1905,9
1906,9
1907,11
1908,10
1909,11
1910,11
1911,16
1912,19
1913,19
1914,25
1915,34
1916,25
1917,17
1918,20
1919,26
1920,25
1921,14
1922,19
1923,10
1924,20
1925,12
1926,6
1927,7
1928,9
1929,10
1930,6
1931,7
1932,6
1933,6
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
