year,Cammi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,7
1962,9
1963,7
1964,6
1965,9
1966,9
1967,11
1968,17
1969,11
1970,9
1971,15
1972,5
1973,9
1974,8
1975,11
1976,6
1977,10
1978,10
1979,13
1980,12
1981,11
1982,11
1983,10
1984,15
1985,9
1986,8
1987,12
1988,13
1989,7
1990,13
1991,7
1992,9
1993,16
1994,8
1995,6
1996,7
1997,12
1998,38
1999,17
2000,19
2001,14
2002,20
2003,16
2004,18
2005,19
2006,5
2007,17
2008,16
2009,17
2010,10
2011,11
2012,7
