year,Cosmo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,7
1912,11
1913,28
1914,23
1915,31
1916,28
1917,35
1918,43
1919,42
1920,40
1921,54
1922,40
1923,47
1924,48
1925,50
1926,50
1927,45
1928,43
1929,35
1930,39
1931,31
1932,35
1933,32
1934,21
1935,26
1936,24
1937,27
1938,25
1939,26
1940,11
1941,29
1942,31
1943,25
1944,13
1945,8
1946,13
1947,22
1948,21
1949,18
1950,16
1951,22
1952,20
1953,24
1954,17
1955,15
1956,28
1957,19
1958,16
1959,14
1960,17
1961,13
1962,13
1963,16
1964,13
1965,7
1966,13
1967,11
1968,6
1969,11
1970,20
1971,14
1972,17
1973,14
1974,15
1975,10
1976,8
1977,6
1978,8
1979,16
1980,6
1981,12
1982,17
1983,12
1984,11
1985,11
1986,12
1987,6
1988,8
1989,13
1990,12
1991,11
1992,14
1993,15
1994,27
1995,16
1996,20
1997,20
1998,19
1999,18
2000,21
2001,22
2002,29
2003,22
2004,26
2005,41
2006,33
2007,19
2008,22
2009,18
2010,25
2011,22
2012,16
