year,Cyrus (F),Cyrus (M)
1880,0.000000,0.000268
1881,0.000000,0.000208
1882,0.000000,0.000208
1883,0.000000,0.000217
1884,0.000000,0.000152
1885,0.000000,0.000166
1886,0.000000,0.000231
1887,0.000000,0.000154
1888,0.000000,0.000150
1889,0.000000,0.000121
1890,0.000000,0.000103
1891,0.000000,0.000077
1892,0.000000,0.000141
1893,0.000000,0.000101
1894,0.000000,0.000080
1895,0.000000,0.000071
1896,0.000000,0.000062
1897,0.000000,0.000089
1898,0.000000,0.000066
1899,0.000000,0.000071
1900,0.000000,0.000080
1901,0.000000,0.000075
1902,0.000000,0.000057
1903,0.000000,0.000058
1904,0.000000,0.000055
1905,0.000000,0.000059
1906,0.000000,0.000077
1907,0.000000,0.000043
1908,0.000000,0.000047
1909,0.000000,0.000045
1910,0.000000,0.000046
1911,0.000000,0.000045
1912,0.000000,0.000080
1913,0.000000,0.000076
1914,0.000000,0.000061
1915,0.000000,0.000068
1916,0.000000,0.000064
1917,0.000000,0.000068
1918,0.000000,0.000064
1919,0.000000,0.000048
1920,0.000000,0.000052
1921,0.000000,0.000055
1922,0.000000,0.000061
1923,0.000000,0.000048
1924,0.000000,0.000046
1925,0.000000,0.000048
1926,0.000000,0.000057
1927,0.000000,0.000045
1928,0.000000,0.000035
1929,0.000000,0.000035
1930,0.000000,0.000042
1931,0.000000,0.000042
1932,0.000000,0.000036
1933,0.000000,0.000039
1934,0.000000,0.000042
1935,0.000000,0.000039
1936,0.000000,0.000039
1937,0.000000,0.000036
1938,0.000000,0.000034
1939,0.000000,0.000025
1940,0.000000,0.000031
1941,0.000000,0.000032
1942,0.000000,0.000025
1943,0.000000,0.000024
1944,0.000000,0.000031
1945,0.000000,0.000019
1946,0.000000,0.000023
1947,0.000000,0.000021
1948,0.000000,0.000025
1949,0.000000,0.000028
1950,0.000000,0.000023
1951,0.000000,0.000023
1952,0.000000,0.000021
1953,0.000000,0.000018
1954,0.000000,0.000020
1955,0.000000,0.000024
1956,0.000000,0.000021
1957,0.000000,0.000020
1958,0.000000,0.000022
1959,0.000000,0.000019
1960,0.000000,0.000019
1961,0.000000,0.000022
1962,0.000000,0.000022
1963,0.000000,0.000020
1964,0.000000,0.000017
1965,0.000000,0.000025
1966,0.000000,0.000018
1967,0.000000,0.000021
1968,0.000000,0.000028
1969,0.000000,0.000021
1970,0.000000,0.000028
1971,0.000000,0.000024
1972,0.000000,0.000027
1973,0.000000,0.000029
1974,0.000000,0.000030
1975,0.000000,0.000031
1976,0.000000,0.000025
1977,0.000000,0.000043
1978,0.000000,0.000042
1979,0.000000,0.000038
1980,0.000000,0.000046
1981,0.000000,0.000050
1982,0.000000,0.000040
1983,0.000000,0.000043
1984,0.000000,0.000046
1985,0.000000,0.000037
1986,0.000000,0.000038
1987,0.000000,0.000042
1988,0.000000,0.000045
1989,0.000000,0.000041
1990,0.000000,0.000038
1991,0.000000,0.000042
1992,0.000000,0.000052
1993,0.000000,0.000055
1994,0.000000,0.000051
1995,0.000000,0.000048
1996,0.000000,0.000057
1997,0.000000,0.000076
1998,0.000000,0.000097
1999,0.000000,0.000098
2000,0.000000,0.000105
2001,0.000000,0.000114
2002,0.000000,0.000135
2003,0.000000,0.000134
2004,0.000000,0.000124
2005,0.000000,0.000132
2006,0.000000,0.000127
2007,0.000000,0.000147
2008,0.000000,0.000137
2009,0.000000,0.000136
2010,0.000000,0.000144
2011,0.000000,0.000138
2012,0.000000,0.000159
2013,0.000000,0.000182
