year,Carolyne
1880,0
1881,0
1882,5
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,9
1896,6
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,5
1906,5
1907,7
1908,5
1909,6
1910,5
1911,5
1912,11
1913,14
1914,8
1915,28
1916,24
1917,26
1918,32
1919,21
1920,19
1921,25
1922,26
1923,29
1924,37
1925,28
1926,23
1927,31
1928,22
1929,20
1930,21
1931,40
1932,32
1933,34
1934,24
1935,38
1936,43
1937,56
1938,51
1939,39
1940,52
1941,67
1942,108
1943,103
1944,97
1945,78
1946,90
1947,88
1948,68
1949,62
1950,58
1951,41
1952,50
1953,35
1954,52
1955,30
1956,27
1957,36
1958,29
1959,42
1960,37
1961,30
1962,31
1963,25
1964,28
1965,20
1966,22
1967,20
1968,16
1969,13
1970,29
1971,13
1972,18
1973,18
1974,9
1975,9
1976,19
1977,13
1978,17
1979,19
1980,8
1981,19
1982,16
1983,16
1984,20
1985,23
1986,14
1987,27
1988,40
1989,28
1990,36
1991,25
1992,27
1993,29
1994,24
1995,20
1996,26
1997,22
1998,29
1999,41
2000,39
2001,43
2002,32
2003,30
2004,32
2005,32
2006,37
2007,30
2008,29
2009,19
2010,19
2011,24
2012,18
