year,Chara
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,0
1959,6
1960,8
1961,9
1962,6
1963,5
1964,7
1965,0
1966,14
1967,7
1968,9
1969,8
1970,15
1971,18
1972,18
1973,20
1974,28
1975,31
1976,37
1977,36
1978,35
1979,30
1980,36
1981,24
1982,39
1983,21
1984,39
1985,24
1986,19
1987,32
1988,24
1989,17
1990,18
1991,23
1992,18
1993,17
1994,9
1995,14
1996,12
1997,13
1998,13
1999,7
2000,16
2001,10
2002,16
2003,14
2004,9
2005,6
2006,12
2007,11
2008,7
2009,7
2010,8
2011,9
2012,7
