year,Collins (F),Collins (M)
1880,0.000000,0.000000
1881,0.000000,0.000042
1882,0.000000,0.000000
1883,0.000000,0.000041
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000024
1890,0.000000,0.000000
1891,0.000000,0.000031
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000021
1900,0.000000,0.000036
1901,0.000000,0.000020
1902,0.000000,0.000018
1903,0.000000,0.000016
1904,0.000000,0.000027
1905,0.000000,0.000014
1906,0.000000,0.000026
1907,0.000000,0.000030
1908,0.000000,0.000025
1909,0.000000,0.000020
1910,0.000000,0.000017
1911,0.000000,0.000016
1912,0.000000,0.000012
1913,0.000000,0.000027
1914,0.000000,0.000033
1915,0.000000,0.000026
1916,0.000000,0.000013
1917,0.000000,0.000015
1918,0.000000,0.000016
1919,0.000000,0.000016
1920,0.000000,0.000018
1921,0.000000,0.000018
1922,0.000000,0.000019
1923,0.000000,0.000016
1924,0.000000,0.000012
1925,0.000000,0.000009
1926,0.000000,0.000019
1927,0.000000,0.000012
1928,0.000000,0.000012
1929,0.000000,0.000008
1930,0.000000,0.000009
1931,0.000000,0.000010
1932,0.000000,0.000014
1933,0.000000,0.000016
1934,0.000000,0.000012
1935,0.000000,0.000013
1936,0.000000,0.000012
1937,0.000000,0.000010
1938,0.000000,0.000011
1939,0.000000,0.000011
1940,0.000000,0.000014
1941,0.000000,0.000010
1942,0.000000,0.000008
1943,0.000000,0.000010
1944,0.000000,0.000012
1945,0.000000,0.000008
1946,0.000000,0.000011
1947,0.000000,0.000007
1948,0.000000,0.000008
1949,0.000000,0.000011
1950,0.000000,0.000009
1951,0.000000,0.000006
1952,0.000000,0.000008
1953,0.000000,0.000012
1954,0.000000,0.000011
1955,0.000000,0.000006
1956,0.000000,0.000006
1957,0.000000,0.000007
1958,0.000000,0.000006
1959,0.000000,0.000005
1960,0.000000,0.000007
1961,0.000000,0.000005
1962,0.000000,0.000005
1963,0.000000,0.000007
1964,0.000000,0.000006
1965,0.000000,0.000006
1966,0.000000,0.000005
1967,0.000000,0.000003
1968,0.000000,0.000004
1969,0.000000,0.000005
1970,0.000000,0.000003
1971,0.000000,0.000009
1972,0.000000,0.000004
1973,0.000000,0.000005
1974,0.000000,0.000006
1975,0.000000,0.000006
1976,0.000000,0.000004
1977,0.000000,0.000006
1978,0.000000,0.000006
1979,0.000000,0.000008
1980,0.000000,0.000007
1981,0.000000,0.000009
1982,0.000002,0.000006
1983,0.000002,0.000006
1984,0.000000,0.000007
1985,0.000000,0.000008
1986,0.000000,0.000008
1987,0.000000,0.000011
1988,0.000002,0.000008
1989,0.000000,0.000008
1990,0.000000,0.000009
1991,0.000000,0.000006
1992,0.000000,0.000008
1993,0.000000,0.000007
1994,0.000000,0.000007
1995,0.000000,0.000007
1996,0.000000,0.000008
1997,0.000000,0.000010
1998,0.000000,0.000006
1999,0.000000,0.000009
2000,0.000000,0.000009
2001,0.000000,0.000009
2002,0.000000,0.000008
2003,0.000002,0.000006
2004,0.000001,0.000007
2005,0.000000,0.000009
2006,0.000000,0.000008
2007,0.000000,0.000008
2008,0.000002,0.000007
2009,0.000002,0.000008
2010,0.000031,0.000015
2011,0.000049,0.000016
2012,0.000073,0.000012
