year,Cicero
1880,14
1881,18
1882,13
1883,11
1884,11
1885,15
1886,8
1887,10
1888,14
1889,8
1890,13
1891,10
1892,14
1893,13
1894,10
1895,5
1896,14
1897,11
1898,16
1899,12
1900,18
1901,6
1902,16
1903,16
1904,0
1905,15
1906,7
1907,8
1908,5
1909,17
1910,11
1911,11
1912,19
1913,21
1914,25
1915,32
1916,34
1917,24
1918,29
1919,36
1920,41
1921,22
1922,38
1923,28
1924,27
1925,21
1926,29
1927,29
1928,18
1929,19
1930,25
1931,18
1932,22
1933,15
1934,19
1935,11
1936,19
1937,17
1938,19
1939,17
1940,19
1941,12
1942,12
1943,16
1944,15
1945,15
1946,13
1947,18
1948,12
1949,13
1950,12
1951,7
1952,10
1953,13
1954,0
1955,14
1956,14
1957,9
1958,6
1959,6
1960,9
1961,7
1962,10
1963,0
1964,10
1965,8
1966,11
1967,0
1968,0
1969,7
1970,7
1971,6
1972,6
1973,0
1974,6
1975,6
1976,6
1977,0
1978,0
1979,5
1980,6
1981,5
1982,5
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,5
2010,0
2011,5
2012,0
