year,Catarino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,5
1912,5
1913,12
1914,13
1915,24
1916,16
1917,12
1918,13
1919,26
1920,26
1921,27
1922,20
1923,27
1924,31
1925,18
1926,24
1927,25
1928,15
1929,22
1930,27
1931,15
1932,10
1933,11
1934,20
1935,11
1936,13
1937,10
1938,13
1939,14
1940,15
1941,12
1942,24
1943,18
1944,23
1945,34
1946,20
1947,23
1948,27
1949,29
1950,19
1951,13
1952,12
1953,24
1954,17
1955,25
1956,20
1957,12
1958,19
1959,9
1960,15
1961,11
1962,13
1963,17
1964,12
1965,11
1966,12
1967,8
1968,13
1969,17
1970,25
1971,20
1972,20
1973,22
1974,17
1975,18
1976,7
1977,23
1978,21
1979,9
1980,23
1981,21
1982,15
1983,13
1984,9
1985,7
1986,7
1987,14
1988,19
1989,13
1990,19
1991,14
1992,9
1993,16
1994,14
1995,11
1996,11
1997,10
1998,10
1999,13
2000,11
2001,9
2002,12
2003,11
2004,9
2005,8
2006,5
2007,9
2008,12
2009,9
2010,13
2011,12
2012,6
