year,Carlean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,0
1913,0
1914,6
1915,6
1916,7
1917,6
1918,5
1919,13
1920,5
1921,9
1922,6
1923,7
1924,10
1925,12
1926,15
1927,11
1928,8
1929,12
1930,11
1931,8
1932,9
1933,15
1934,11
1935,12
1936,10
1937,16
1938,17
1939,13
1940,18
1941,8
1942,7
1943,12
1944,15
1945,6
1946,19
1947,13
1948,12
1949,11
1950,16
1951,11
1952,21
1953,16
1954,10
1955,14
1956,11
1957,6
1958,9
1959,8
1960,13
1961,11
1962,11
1963,9
1964,7
1965,8
1966,7
1967,6
1968,6
1969,0
1970,5
1971,0
1972,5
1973,0
1974,5
1975,0
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
