year,Cathlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,6
1943,8
1944,8
1945,9
1946,15
1947,8
1948,17
1949,19
1950,21
1951,21
1952,29
1953,20
1954,23
1955,30
1956,34
1957,37
1958,21
1959,34
1960,21
1961,36
1962,19
1963,26
1964,29
1965,18
1966,22
1967,28
1968,27
1969,13
1970,14
1971,12
1972,14
1973,10
1974,6
1975,7
1976,5
1977,6
1978,9
1979,10
1980,11
1981,15
1982,12
1983,11
1984,0
1985,7
1986,6
1987,5
1988,6
1989,13
1990,8
1991,8
1992,6
1993,8
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,5
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
