year,Cordia
1880,8
1881,7
1882,11
1883,11
1884,10
1885,14
1886,5
1887,8
1888,17
1889,18
1890,12
1891,19
1892,24
1893,13
1894,26
1895,20
1896,29
1897,13
1898,21
1899,25
1900,23
1901,19
1902,22
1903,19
1904,20
1905,18
1906,13
1907,17
1908,19
1909,17
1910,14
1911,25
1912,15
1913,25
1914,32
1915,27
1916,25
1917,43
1918,35
1919,18
1920,39
1921,24
1922,32
1923,32
1924,19
1925,21
1926,28
1927,20
1928,16
1929,11
1930,10
1931,6
1932,18
1933,15
1934,14
1935,12
1936,10
1937,10
1938,7
1939,6
1940,15
1941,11
1942,12
1943,14
1944,12
1945,9
1946,14
1947,14
1948,7
1949,7
1950,0
1951,14
1952,13
1953,13
1954,8
1955,12
1956,0
1957,13
1958,16
1959,12
1960,7
1961,9
1962,7
1963,0
1964,8
1965,7
1966,0
1967,6
1968,0
1969,7
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,0
1981,0
1982,6
1983,0
1984,7
1985,7
1986,7
1987,8
1988,9
1989,6
1990,0
1991,8
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,0
2011,0
2012,0
