year,Constantino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,11
1915,17
1916,14
1917,11
1918,18
1919,8
1920,17
1921,21
1922,27
1923,27
1924,17
1925,14
1926,16
1927,25
1928,17
1929,17
1930,16
1931,19
1932,10
1933,11
1934,11
1935,5
1936,7
1937,6
1938,10
1939,15
1940,11
1941,14
1942,7
1943,9
1944,5
1945,0
1946,7
1947,6
1948,8
1949,0
1950,7
1951,7
1952,0
1953,9
1954,6
1955,17
1956,9
1957,7
1958,6
1959,9
1960,8
1961,15
1962,9
1963,9
1964,7
1965,15
1966,12
1967,6
1968,14
1969,11
1970,11
1971,12
1972,12
1973,10
1974,6
1975,10
1976,14
1977,11
1978,9
1979,9
1980,17
1981,17
1982,12
1983,9
1984,8
1985,12
1986,17
1987,14
1988,12
1989,14
1990,16
1991,18
1992,18
1993,13
1994,15
1995,24
1996,20
1997,13
1998,16
1999,19
2000,27
2001,21
2002,7
2003,22
2004,21
2005,22
2006,17
2007,19
2008,14
2009,18
2010,23
2011,20
2012,13
