year,Carletta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,10
1916,6
1917,10
1918,14
1919,0
1920,11
1921,9
1922,8
1923,10
1924,16
1925,10
1926,7
1927,14
1928,17
1929,12
1930,19
1931,13
1932,11
1933,12
1934,18
1935,13
1936,17
1937,23
1938,18
1939,19
1940,24
1941,19
1942,26
1943,19
1944,21
1945,26
1946,37
1947,39
1948,53
1949,49
1950,65
1951,60
1952,65
1953,63
1954,84
1955,66
1956,60
1957,66
1958,45
1959,46
1960,55
1961,70
1962,63
1963,61
1964,57
1965,53
1966,50
1967,58
1968,81
1969,77
1970,98
1971,91
1972,75
1973,51
1974,72
1975,64
1976,40
1977,53
1978,39
1979,40
1980,37
1981,47
1982,40
1983,41
1984,37
1985,30
1986,32
1987,19
1988,29
1989,39
1990,18
1991,23
1992,26
1993,15
1994,16
1995,14
1996,9
1997,10
1998,13
1999,13
2000,15
2001,10
2002,0
2003,0
2004,5
2005,6
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
