year,Clotilde
1880,0
1881,0
1882,0
1883,0
1884,0
1885,13
1886,8
1887,0
1888,5
1889,8
1890,7
1891,5
1892,0
1893,7
1894,5
1895,0
1896,6
1897,6
1898,8
1899,8
1900,10
1901,8
1902,7
1903,7
1904,6
1905,12
1906,8
1907,13
1908,13
1909,10
1910,10
1911,10
1912,15
1913,18
1914,29
1915,25
1916,27
1917,21
1918,29
1919,12
1920,20
1921,25
1922,22
1923,24
1924,36
1925,31
1926,19
1927,18
1928,23
1929,16
1930,14
1931,27
1932,20
1933,11
1934,13
1935,19
1936,15
1937,9
1938,14
1939,10
1940,8
1941,9
1942,10
1943,11
1944,14
1945,6
1946,14
1947,7
1948,9
1949,5
1950,5
1951,12
1952,10
1953,7
1954,9
1955,8
1956,8
1957,5
1958,7
1959,5
1960,0
1961,9
1962,0
1963,6
1964,6
1965,8
1966,0
1967,6
1968,0
1969,0
1970,6
1971,5
1972,10
1973,0
1974,6
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
