year,Charise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,9
1950,5
1951,5
1952,9
1953,11
1954,5
1955,15
1956,21
1957,15
1958,26
1959,23
1960,30
1961,28
1962,35
1963,29
1964,52
1965,41
1966,51
1967,51
1968,48
1969,64
1970,82
1971,85
1972,73
1973,69
1974,50
1975,60
1976,61
1977,60
1978,50
1979,74
1980,59
1981,78
1982,59
1983,70
1984,67
1985,60
1986,55
1987,48
1988,48
1989,44
1990,37
1991,41
1992,34
1993,30
1994,28
1995,17
1996,21
1997,8
1998,14
1999,14
2000,12
2001,10
2002,9
2003,9
2004,5
2005,5
2006,8
2007,6
2008,0
2009,6
2010,0
2011,0
2012,6
