year,Cleone
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,6
1894,0
1895,0
1896,5
1897,6
1898,0
1899,8
1900,0
1901,0
1902,7
1903,8
1904,10
1905,14
1906,9
1907,12
1908,11
1909,16
1910,15
1911,12
1912,21
1913,25
1914,27
1915,45
1916,39
1917,48
1918,47
1919,35
1920,34
1921,46
1922,31
1923,49
1924,47
1925,33
1926,50
1927,36
1928,24
1929,22
1930,30
1931,27
1932,27
1933,33
1934,35
1935,35
1936,24
1937,31
1938,29
1939,23
1940,17
1941,20
1942,29
1943,18
1944,19
1945,16
1946,17
1947,12
1948,15
1949,9
1950,12
1951,6
1952,9
1953,5
1954,5
1955,6
1956,6
1957,7
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
