year,Christianna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,6
1953,5
1954,9
1955,0
1956,9
1957,0
1958,0
1959,6
1960,7
1961,5
1962,7
1963,0
1964,10
1965,10
1966,5
1967,8
1968,21
1969,18
1970,23
1971,20
1972,17
1973,22
1974,22
1975,20
1976,35
1977,22
1978,18
1979,22
1980,32
1981,26
1982,36
1983,38
1984,39
1985,45
1986,38
1987,46
1988,37
1989,56
1990,68
1991,74
1992,86
1993,72
1994,81
1995,96
1996,90
1997,93
1998,81
1999,97
2000,104
2001,85
2002,97
2003,93
2004,79
2005,85
2006,76
2007,100
2008,74
2009,81
2010,67
2011,63
2012,61
