year,Cullen (F),Cullen (M)
1880,0.000000,0.000045
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000012
1905,0.000000,0.000021
1906,0.000000,0.000000
1907,0.000000,0.000017
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000017
1911,0.000000,0.000019
1912,0.000000,0.000017
1913,0.000000,0.000018
1914,0.000000,0.000019
1915,0.000000,0.000019
1916,0.000000,0.000016
1917,0.000000,0.000014
1918,0.000000,0.000016
1919,0.000000,0.000014
1920,0.000000,0.000011
1921,0.000000,0.000018
1922,0.000000,0.000017
1923,0.000000,0.000009
1924,0.000000,0.000012
1925,0.000000,0.000016
1926,0.000000,0.000015
1927,0.000000,0.000014
1928,0.000000,0.000012
1929,0.000000,0.000010
1930,0.000000,0.000012
1931,0.000000,0.000012
1932,0.000000,0.000009
1933,0.000000,0.000014
1934,0.000000,0.000012
1935,0.000000,0.000013
1936,0.000000,0.000006
1937,0.000000,0.000009
1938,0.000000,0.000010
1939,0.000000,0.000010
1940,0.000000,0.000009
1941,0.000000,0.000013
1942,0.000000,0.000007
1943,0.000000,0.000012
1944,0.000000,0.000006
1945,0.000000,0.000007
1946,0.000000,0.000008
1947,0.000000,0.000007
1948,0.000000,0.000007
1949,0.000000,0.000006
1950,0.000000,0.000005
1951,0.000000,0.000006
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000006
1955,0.000000,0.000007
1956,0.000000,0.000008
1957,0.000000,0.000006
1958,0.000000,0.000006
1959,0.000000,0.000009
1960,0.000000,0.000009
1961,0.000000,0.000008
1962,0.000000,0.000008
1963,0.000000,0.000006
1964,0.000000,0.000008
1965,0.000000,0.000006
1966,0.000000,0.000008
1967,0.000000,0.000008
1968,0.000000,0.000012
1969,0.000000,0.000014
1970,0.000000,0.000017
1971,0.000000,0.000015
1972,0.000000,0.000011
1973,0.000000,0.000019
1974,0.000002,0.000025
1975,0.000000,0.000019
1976,0.000002,0.000024
1977,0.000000,0.000018
1978,0.000000,0.000024
1979,0.000000,0.000030
1980,0.000000,0.000028
1981,0.000001,0.000029
1982,0.000000,0.000025
1983,0.000000,0.000028
1984,0.000001,0.000026
1985,0.000000,0.000028
1986,0.000000,0.000034
1987,0.000001,0.000040
1988,0.000000,0.000044
1989,0.000001,0.000046
1990,0.000000,0.000042
1991,0.000000,0.000051
1992,0.000000,0.000076
1993,0.000000,0.000089
1994,0.000000,0.000081
1995,0.000002,0.000109
1996,0.000002,0.000107
1997,0.000002,0.000112
1998,0.000002,0.000102
1999,0.000000,0.000096
2000,0.000002,0.000096
2001,0.000000,0.000090
2002,0.000000,0.000085
2003,0.000000,0.000075
2004,0.000000,0.000071
2005,0.000000,0.000072
2006,0.000000,0.000066
2007,0.000000,0.000072
2008,0.000000,0.000072
2009,0.000001,0.000147
2010,0.000002,0.000184
2011,0.000002,0.000155
2012,0.000002,0.000129
2013,0.000002,0.000123
2014,0.000001,0.000121
2015,0.000001,0.000133
2016,0.000000,0.000144
2017,0.000000,0.000156
2018,0.000000,0.000132
2019,0.000000,0.000119
2020,0.000000,0.000111
