year,Charlynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,5
1942,10
1943,7
1944,7
1945,12
1946,10
1947,10
1948,13
1949,12
1950,13
1951,7
1952,23
1953,18
1954,15
1955,9
1956,13
1957,20
1958,14
1959,16
1960,17
1961,22
1962,14
1963,13
1964,12
1965,12
1966,22
1967,11
1968,22
1969,19
1970,22
1971,11
1972,11
1973,18
1974,15
1975,10
1976,14
1977,15
1978,13
1979,14
1980,9
1981,9
1982,10
1983,10
1984,12
1985,11
1986,5
1987,7
1988,14
1989,7
1990,11
1991,11
1992,7
1993,7
1994,0
1995,0
1996,0
1997,0
1998,6
1999,5
2000,10
2001,0
2002,6
2003,7
2004,0
2005,6
2006,0
2007,5
2008,0
2009,0
2010,0
2011,9
2012,0
