year,Charisma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,20
1969,22
1970,25
1971,23
1972,32
1973,27
1974,31
1975,27
1976,30
1977,41
1978,36
1979,39
1980,33
1981,36
1982,48
1983,34
1984,42
1985,42
1986,44
1987,47
1988,60
1989,51
1990,61
1991,84
1992,76
1993,76
1994,56
1995,57
1996,52
1997,73
1998,100
1999,120
2000,196
2001,173
2002,166
2003,139
2004,134
2005,140
2006,150
2007,115
2008,85
2009,92
2010,84
2011,83
2012,82
