year,Carlena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,7
1911,0
1912,5
1913,0
1914,0
1915,5
1916,7
1917,6
1918,10
1919,0
1920,8
1921,6
1922,9
1923,9
1924,7
1925,9
1926,6
1927,0
1928,7
1929,9
1930,0
1931,0
1932,9
1933,0
1934,13
1935,8
1936,7
1937,7
1938,11
1939,7
1940,5
1941,6
1942,18
1943,8
1944,8
1945,6
1946,6
1947,14
1948,11
1949,8
1950,9
1951,11
1952,8
1953,12
1954,6
1955,8
1956,21
1957,14
1958,5
1959,17
1960,16
1961,23
1962,17
1963,21
1964,21
1965,19
1966,18
1967,16
1968,17
1969,23
1970,15
1971,19
1972,20
1973,32
1974,18
1975,42
1976,18
1977,22
1978,20
1979,21
1980,25
1981,28
1982,23
1983,23
1984,17
1985,22
1986,18
1987,18
1988,19
1989,14
1990,18
1991,16
1992,24
1993,18
1994,19
1995,17
1996,15
1997,20
1998,18
1999,9
2000,17
2001,12
2002,6
2003,13
2004,17
2005,11
2006,12
2007,10
2008,16
2009,10
2010,8
2011,8
2012,12
