year,Charissa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,6
1950,12
1951,11
1952,10
1953,17
1954,26
1955,30
1956,20
1957,16
1958,32
1959,27
1960,25
1961,24
1962,37
1963,28
1964,28
1965,41
1966,36
1967,44
1968,38
1969,59
1970,91
1971,109
1972,114
1973,130
1974,109
1975,141
1976,119
1977,134
1978,137
1979,199
1980,211
1981,167
1982,163
1983,175
1984,175
1985,152
1986,171
1987,147
1988,135
1989,154
1990,149
1991,115
1992,121
1993,119
1994,94
1995,82
1996,63
1997,69
1998,61
1999,63
2000,63
2001,43
2002,41
2003,35
2004,46
2005,36
2006,42
2007,41
2008,29
2009,26
2010,24
2011,29
2012,26
