year,Cristela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,5
1932,0
1933,0
1934,0
1935,0
1936,5
1937,0
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,7
1945,0
1946,6
1947,0
1948,8
1949,10
1950,5
1951,10
1952,0
1953,13
1954,0
1955,5
1956,5
1957,9
1958,0
1959,9
1960,9
1961,11
1962,11
1963,15
1964,9
1965,11
1966,7
1967,12
1968,14
1969,11
1970,12
1971,8
1972,11
1973,8
1974,11
1975,7
1976,7
1977,14
1978,15
1979,15
1980,9
1981,14
1982,5
1983,12
1984,14
1985,12
1986,7
1987,10
1988,15
1989,13
1990,8
1991,9
1992,17
1993,10
1994,10
1995,11
1996,13
1997,8
1998,11
1999,14
2000,9
2001,6
2002,5
2003,0
2004,8
2005,6
2006,0
2007,0
2008,5
2009,5
2010,0
2011,6
2012,0
