year,Calvert
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,9
1912,14
1913,10
1914,26
1915,26
1916,20
1917,21
1918,21
1919,25
1920,27
1921,24
1922,28
1923,25
1924,31
1925,22
1926,23
1927,22
1928,12
1929,22
1930,19
1931,15
1932,16
1933,23
1934,15
1935,12
1936,23
1937,17
1938,21
1939,25
1940,27
1941,16
1942,15
1943,14
1944,15
1945,16
1946,19
1947,18
1948,20
1949,26
1950,24
1951,19
1952,12
1953,22
1954,29
1955,27
1956,26
1957,22
1958,29
1959,23
1960,18
1961,24
1962,12
1963,15
1964,20
1965,21
1966,17
1967,25
1968,21
1969,26
1970,18
1971,18
1972,18
1973,12
1974,12
1975,12
1976,6
1977,14
1978,8
1979,9
1980,19
1981,9
1982,20
1983,13
1984,13
1985,11
1986,7
1987,8
1988,12
1989,7
1990,12
1991,11
1992,13
1993,5
1994,11
1995,6
1996,11
1997,9
1998,7
1999,12
2000,11
2001,8
2002,0
2003,7
2004,6
2005,6
2006,5
2007,7
2008,6
2009,0
2010,0
2011,0
2012,0
