year,Camilo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,0
1915,13
1916,15
1917,15
1918,20
1919,12
1920,11
1921,21
1922,17
1923,10
1924,16
1925,21
1926,14
1927,19
1928,18
1929,17
1930,24
1931,13
1932,18
1933,10
1934,10
1935,16
1936,14
1937,11
1938,11
1939,7
1940,13
1941,9
1942,16
1943,18
1944,11
1945,9
1946,13
1947,19
1948,19
1949,13
1950,19
1951,11
1952,19
1953,23
1954,14
1955,14
1956,20
1957,14
1958,22
1959,14
1960,32
1961,19
1962,15
1963,13
1964,22
1965,17
1966,13
1967,26
1968,24
1969,18
1970,28
1971,33
1972,22
1973,25
1974,37
1975,25
1976,35
1977,37
1978,27
1979,27
1980,46
1981,34
1982,40
1983,46
1984,60
1985,56
1986,50
1987,57
1988,53
1989,62
1990,84
1991,52
1992,70
1993,64
1994,60
1995,63
1996,74
1997,70
1998,76
1999,73
2000,79
2001,110
2002,97
2003,113
2004,158
2005,150
2006,159
2007,157
2008,157
2009,229
2010,194
2011,194
2012,257
