year,Corbin (F),Corbin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000014
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000011
1913,0.000000,0.000008
1914,0.000000,0.000010
1915,0.000000,0.000009
1916,0.000000,0.000008
1917,0.000000,0.000007
1918,0.000000,0.000009
1919,0.000000,0.000007
1920,0.000000,0.000011
1921,0.000000,0.000009
1922,0.000000,0.000008
1923,0.000000,0.000007
1924,0.000000,0.000006
1925,0.000000,0.000008
1926,0.000000,0.000006
1927,0.000000,0.000004
1928,0.000000,0.000003
1929,0.000000,0.000005
1930,0.000000,0.000006
1931,0.000000,0.000005
1932,0.000000,0.000008
1933,0.000000,0.000005
1934,0.000000,0.000007
1935,0.000000,0.000006
1936,0.000000,0.000003
1937,0.000000,0.000005
1938,0.000000,0.000003
1939,0.000000,0.000004
1940,0.000000,0.000006
1941,0.000000,0.000007
1942,0.000000,0.000007
1943,0.000000,0.000004
1944,0.000000,0.000004
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000004
1948,0.000000,0.000004
1949,0.000000,0.000003
1950,0.000000,0.000002
1951,0.000000,0.000005
1952,0.000000,0.000006
1953,0.000000,0.000004
1954,0.000000,0.000004
1955,0.000000,0.000005
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000004
1960,0.000000,0.000004
1961,0.000000,0.000006
1962,0.000000,0.000005
1963,0.000000,0.000005
1964,0.000000,0.000007
1965,0.000000,0.000007
1966,0.000000,0.000009
1967,0.000000,0.000009
1968,0.000000,0.000012
1969,0.000000,0.000015
1970,0.000000,0.000019
1971,0.000000,0.000014
1972,0.000000,0.000022
1973,0.000000,0.000016
1974,0.000000,0.000020
1975,0.000000,0.000022
1976,0.000000,0.000028
1977,0.000000,0.000023
1978,0.000000,0.000020
1979,0.000002,0.000019
1980,0.000000,0.000019
1981,0.000000,0.000016
1982,0.000000,0.000017
1983,0.000002,0.000016
1984,0.000002,0.000019
1985,0.000000,0.000015
1986,0.000000,0.000022
1987,0.000002,0.000065
1988,0.000004,0.000101
1989,0.000005,0.000137
1990,0.000004,0.000134
1991,0.000005,0.000142
1992,0.000005,0.000152
1993,0.000003,0.000134
1994,0.000008,0.000157
1995,0.000010,0.000152
1996,0.000008,0.000149
1997,0.000006,0.000151
1998,0.000005,0.000230
1999,0.000006,0.000266
2000,0.000006,0.000274
2001,0.000005,0.000265
2002,0.000004,0.000273
2003,0.000003,0.000293
2004,0.000005,0.000317
2005,0.000004,0.000278
2006,0.000003,0.000298
2007,0.000003,0.000366
2008,0.000004,0.000342
2009,0.000003,0.000321
2010,0.000003,0.000368
2011,0.000004,0.000468
2012,0.000002,0.000443
2013,0.000004,0.000469
2014,0.000004,0.000521
2015,0.000005,0.000478
2016,0.000004,0.000438
2017,0.000006,0.000398
2018,0.000007,0.000359
2019,0.000004,0.000341
2020,0.000005,0.000276
