year,Conrad (F),Conrad (M)
1880,0.000000,0.000203
1881,0.000000,0.000166
1882,0.000000,0.000212
1883,0.000000,0.000175
1884,0.000000,0.000201
1885,0.000000,0.000162
1886,0.000000,0.000196
1887,0.000000,0.000154
1888,0.000000,0.000147
1889,0.000000,0.000128
1890,0.000000,0.000146
1891,0.000000,0.000150
1892,0.000000,0.000129
1893,0.000000,0.000120
1894,0.000000,0.000118
1895,0.000000,0.000097
1896,0.000000,0.000117
1897,0.000000,0.000089
1898,0.000000,0.000107
1899,0.000000,0.000074
1900,0.000000,0.000091
1901,0.000000,0.000104
1902,0.000000,0.000098
1903,0.000000,0.000079
1904,0.000000,0.000057
1905,0.000000,0.000090
1906,0.000000,0.000103
1907,0.000000,0.000071
1908,0.000000,0.000078
1909,0.000000,0.000082
1910,0.000000,0.000090
1911,0.000000,0.000109
1912,0.000000,0.000135
1913,0.000000,0.000140
1914,0.000000,0.000174
1915,0.000000,0.000181
1916,0.000000,0.000182
1917,0.000000,0.000153
1918,0.000000,0.000149
1919,0.000000,0.000127
1920,0.000000,0.000133
1921,0.000002,0.000137
1922,0.000000,0.000145
1923,0.000000,0.000154
1924,0.000000,0.000162
1925,0.000000,0.000167
1926,0.000000,0.000172
1927,0.000003,0.000161
1928,0.000000,0.000194
1929,0.000000,0.000203
1930,0.000000,0.000227
1931,0.000000,0.000278
1932,0.000002,0.000247
1933,0.000000,0.000247
1934,0.000000,0.000241
1935,0.000000,0.000220
1936,0.000000,0.000209
1937,0.000000,0.000196
1938,0.000000,0.000198
1939,0.000000,0.000159
1940,0.000000,0.000163
1941,0.000000,0.000167
1942,0.000000,0.000174
1943,0.000000,0.000160
1944,0.000000,0.000134
1945,0.000000,0.000125
1946,0.000000,0.000115
1947,0.000000,0.000116
1948,0.000000,0.000120
1949,0.000000,0.000101
1950,0.000000,0.000109
1951,0.000000,0.000111
1952,0.000000,0.000104
1953,0.000000,0.000101
1954,0.000000,0.000102
1955,0.000000,0.000096
1956,0.000000,0.000084
1957,0.000000,0.000076
1958,0.000000,0.000078
1959,0.000000,0.000071
1960,0.000000,0.000067
1961,0.000000,0.000066
1962,0.000000,0.000062
1963,0.000000,0.000069
1964,0.000000,0.000065
1965,0.000000,0.000062
1966,0.000000,0.000076
1967,0.000000,0.000070
1968,0.000000,0.000070
1969,0.000000,0.000064
1970,0.000000,0.000063
1971,0.000000,0.000076
1972,0.000000,0.000073
1973,0.000000,0.000057
1974,0.000000,0.000053
1975,0.000000,0.000054
1976,0.000000,0.000056
1977,0.000000,0.000056
1978,0.000000,0.000058
1979,0.000000,0.000063
1980,0.000000,0.000061
1981,0.000000,0.000053
1982,0.000000,0.000066
1983,0.000000,0.000061
1984,0.000000,0.000064
1985,0.000000,0.000063
1986,0.000000,0.000071
1987,0.000000,0.000064
1988,0.000000,0.000072
1989,0.000000,0.000073
1990,0.000000,0.000067
1991,0.000000,0.000074
1992,0.000000,0.000072
1993,0.000000,0.000079
1994,0.000000,0.000079
1995,0.000000,0.000076
1996,0.000000,0.000067
1997,0.000000,0.000077
1998,0.000000,0.000081
1999,0.000000,0.000080
2000,0.000000,0.000066
2001,0.000000,0.000071
2002,0.000000,0.000062
2003,0.000000,0.000069
2004,0.000000,0.000066
2005,0.000000,0.000058
2006,0.000000,0.000067
2007,0.000000,0.000065
2008,0.000000,0.000075
2009,0.000000,0.000081
2010,0.000000,0.000079
2011,0.000000,0.000075
2012,0.000000,0.000086
2013,0.000000,0.000095
