year,Carla (F),Carla (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000017,0.000000
1891,0.000000,0.000000
1892,0.000018,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000011,0.000000
1901,0.000023,0.000000
1902,0.000016,0.000000
1903,0.000013,0.000000
1904,0.000000,0.000000
1905,0.000012,0.000000
1906,0.000023,0.000000
1907,0.000000,0.000000
1908,0.000014,0.000000
1909,0.000016,0.000000
1910,0.000014,0.000000
1911,0.000026,0.000000
1912,0.000005,0.000000
1913,0.000011,0.000000
1914,0.000012,0.000000
1915,0.000013,0.000000
1916,0.000011,0.000000
1917,0.000010,0.000000
1918,0.000014,0.000000
1919,0.000008,0.000000
1920,0.000011,0.000000
1921,0.000012,0.000000
1922,0.000008,0.000000
1923,0.000013,0.000000
1924,0.000015,0.000000
1925,0.000017,0.000000
1926,0.000031,0.000000
1927,0.000035,0.000000
1928,0.000041,0.000000
1929,0.000057,0.000000
1930,0.000069,0.000000
1931,0.000078,0.000000
1932,0.000093,0.000000
1933,0.000088,0.000000
1934,0.000096,0.000000
1935,0.000102,0.000000
1936,0.000117,0.000000
1937,0.000120,0.000000
1938,0.000141,0.000000
1939,0.000157,0.000000
1940,0.000191,0.000000
1941,0.000187,0.000000
1942,0.000203,0.000000
1943,0.000227,0.000000
1944,0.000268,0.000000
1945,0.000325,0.000000
1946,0.000376,0.000002
1947,0.000436,0.000001
1948,0.000447,0.000000
1949,0.000430,0.000000
1950,0.000500,0.000000
1951,0.000590,0.000000
1952,0.000675,0.000001
1953,0.000716,0.000002
1954,0.000726,0.000002
1955,0.000764,0.000002
1956,0.000805,0.000002
1957,0.000825,0.000002
1958,0.000848,0.000002
1959,0.000946,0.000002
1960,0.001053,0.000002
1961,0.001405,0.000003
1962,0.001442,0.000002
1963,0.001330,0.000003
1964,0.001382,0.000002
1965,0.001319,0.000004
1966,0.001297,0.000005
1967,0.001233,0.000006
1968,0.001129,0.000004
1969,0.001140,0.000002
1970,0.001168,0.000004
1971,0.001036,0.000003
1972,0.000981,0.000002
1973,0.000890,0.000003
1974,0.000846,0.000003
1975,0.000767,0.000003
1976,0.000741,0.000004
1977,0.000660,0.000003
1978,0.000662,0.000002
1979,0.000592,0.000003
1980,0.000532,0.000003
1981,0.000517,0.000004
1982,0.000501,0.000003
1983,0.000441,0.000004
1984,0.000417,0.000003
1985,0.000391,0.000003
1986,0.000378,0.000003
1987,0.000333,0.000003
1988,0.000294,0.000000
1989,0.000278,0.000002
1990,0.000276,0.000002
1991,0.000259,0.000003
1992,0.000264,0.000002
1993,0.000234,0.000000
1994,0.000215,0.000002
1995,0.000209,0.000001
1996,0.000211,0.000000
1997,0.000200,0.000000
1998,0.000182,0.000000
1999,0.000184,0.000000
2000,0.000187,0.000000
2001,0.000180,0.000000
2002,0.000204,0.000000
2003,0.000170,0.000000
2004,0.000165,0.000000
2005,0.000152,0.000000
2006,0.000154,0.000000
2007,0.000145,0.000000
2008,0.000135,0.000000
2009,0.000115,0.000000
2010,0.000100,0.000000
2011,0.000101,0.000000
2012,0.000102,0.000000
2013,0.000082,0.000000
2014,0.000086,0.000000
2015,0.000086,0.000000
2016,0.000088,0.000000
2017,0.000077,0.000000
2018,0.000073,0.000000
2019,0.000073,0.000000
2020,0.000074,0.000000
