year,Cloyd
1880,12
1881,10
1882,6
1883,9
1884,12
1885,7
1886,8
1887,8
1888,13
1889,12
1890,10
1891,13
1892,19
1893,12
1894,11
1895,10
1896,7
1897,6
1898,10
1899,11
1900,9
1901,8
1902,12
1903,9
1904,5
1905,12
1906,11
1907,13
1908,16
1909,7
1910,11
1911,20
1912,32
1913,30
1914,46
1915,84
1916,65
1917,72
1918,91
1919,85
1920,73
1921,83
1922,59
1923,69
1924,67
1925,86
1926,75
1927,71
1928,67
1929,69
1930,55
1931,52
1932,52
1933,58
1934,59
1935,58
1936,56
1937,40
1938,57
1939,33
1940,50
1941,49
1942,46
1943,43
1944,35
1945,26
1946,43
1947,42
1948,41
1949,45
1950,40
1951,24
1952,25
1953,27
1954,34
1955,30
1956,21
1957,25
1958,23
1959,28
1960,23
1961,24
1962,12
1963,13
1964,11
1965,20
1966,9
1967,12
1968,13
1969,16
1970,18
1971,7
1972,9
1973,6
1974,5
1975,8
1976,7
1977,7
1978,0
1979,8
1980,6
1981,9
1982,0
1983,0
1984,5
1985,0
1986,5
1987,0
1988,6
1989,0
1990,5
1991,0
1992,0
1993,6
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
