year,Cyndi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,8
1947,17
1948,14
1949,16
1950,17
1951,8
1952,20
1953,26
1954,27
1955,39
1956,72
1957,146
1958,180
1959,230
1960,176
1961,185
1962,157
1963,152
1964,124
1965,121
1966,81
1967,84
1968,89
1969,104
1970,105
1971,79
1972,66
1973,66
1974,41
1975,40
1976,37
1977,32
1978,33
1979,38
1980,25
1981,28
1982,25
1983,28
1984,61
1985,88
1986,58
1987,48
1988,36
1989,39
1990,45
1991,35
1992,28
1993,29
1994,21
1995,21
1996,23
1997,17
1998,10
1999,18
2000,27
2001,24
2002,16
2003,17
2004,27
2005,15
2006,14
2007,13
2008,11
2009,11
2010,13
2011,6
2012,8
