year,Carlota
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,8
1888,5
1889,0
1890,6
1891,5
1892,10
1893,0
1894,0
1895,6
1896,5
1897,7
1898,7
1899,8
1900,11
1901,6
1902,12
1903,9
1904,11
1905,8
1906,11
1907,13
1908,16
1909,10
1910,10
1911,12
1912,18
1913,18
1914,16
1915,34
1916,32
1917,26
1918,31
1919,39
1920,43
1921,49
1922,48
1923,32
1924,27
1925,38
1926,29
1927,26
1928,27
1929,32
1930,29
1931,30
1932,25
1933,18
1934,30
1935,10
1936,17
1937,22
1938,17
1939,17
1940,17
1941,27
1942,16
1943,22
1944,16
1945,18
1946,14
1947,25
1948,16
1949,20
1950,16
1951,10
1952,8
1953,13
1954,14
1955,15
1956,12
1957,13
1958,13
1959,12
1960,10
1961,11
1962,18
1963,9
1964,15
1965,13
1966,14
1967,9
1968,9
1969,13
1970,18
1971,9
1972,13
1973,13
1974,18
1975,12
1976,14
1977,14
1978,16
1979,14
1980,13
1981,18
1982,6
1983,7
1984,12
1985,8
1986,9
1987,12
1988,13
1989,11
1990,7
1991,5
1992,8
1993,8
1994,12
1995,8
1996,5
1997,9
1998,9
1999,11
2000,8
2001,12
2002,12
2003,8
2004,12
2005,0
2006,13
2007,10
2008,11
2009,16
2010,15
2011,9
2012,13
