year,Crissy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,10
1959,7
1960,9
1961,13
1962,14
1963,11
1964,6
1965,8
1966,20
1967,20
1968,23
1969,49
1970,88
1971,110
1972,109
1973,87
1974,95
1975,90
1976,57
1977,84
1978,274
1979,262
1980,161
1981,137
1982,126
1983,87
1984,68
1985,57
1986,46
1987,35
1988,23
1989,29
1990,24
1991,39
1992,29
1993,27
1994,29
1995,17
1996,18
1997,24
1998,16
1999,15
2000,16
2001,9
2002,10
2003,8
2004,8
2005,5
2006,7
2007,10
2008,7
2009,5
2010,8
2011,0
2012,9
