year,Celso
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,6
1913,0
1914,8
1915,0
1916,12
1917,0
1918,7
1919,0
1920,9
1921,7
1922,12
1923,13
1924,12
1925,11
1926,11
1927,11
1928,20
1929,13
1930,8
1931,21
1932,12
1933,9
1934,12
1935,10
1936,8
1937,13
1938,13
1939,8
1940,14
1941,8
1942,9
1943,10
1944,15
1945,15
1946,17
1947,14
1948,12
1949,13
1950,14
1951,14
1952,16
1953,25
1954,6
1955,16
1956,13
1957,24
1958,18
1959,20
1960,26
1961,14
1962,16
1963,13
1964,24
1965,22
1966,15
1967,11
1968,20
1969,16
1970,21
1971,22
1972,18
1973,19
1974,19
1975,23
1976,35
1977,13
1978,23
1979,13
1980,26
1981,23
1982,27
1983,16
1984,30
1985,32
1986,21
1987,25
1988,38
1989,35
1990,35
1991,40
1992,37
1993,29
1994,42
1995,38
1996,29
1997,40
1998,42
1999,37
2000,38
2001,41
2002,29
2003,42
2004,42
2005,38
2006,48
2007,44
2008,29
2009,26
2010,37
2011,26
2012,25
