year,Corene
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,8
1889,0
1890,5
1891,5
1892,12
1893,13
1894,8
1895,12
1896,16
1897,15
1898,16
1899,16
1900,23
1901,21
1902,27
1903,20
1904,20
1905,23
1906,26
1907,34
1908,24
1909,39
1910,53
1911,45
1912,51
1913,54
1914,64
1915,80
1916,80
1917,93
1918,91
1919,93
1920,111
1921,90
1922,113
1923,78
1924,95
1925,92
1926,95
1927,78
1928,66
1929,77
1930,62
1931,73
1932,81
1933,82
1934,72
1935,84
1936,56
1937,59
1938,58
1939,58
1940,48
1941,40
1942,42
1943,41
1944,39
1945,37
1946,38
1947,47
1948,43
1949,41
1950,31
1951,34
1952,18
1953,18
1954,18
1955,26
1956,16
1957,27
1958,27
1959,26
1960,23
1961,32
1962,35
1963,26
1964,21
1965,28
1966,21
1967,13
1968,14
1969,16
1970,23
1971,17
1972,23
1973,17
1974,17
1975,18
1976,16
1977,22
1978,22
1979,16
1980,0
1981,10
1982,16
1983,12
1984,16
1985,11
1986,15
1987,10
1988,5
1989,8
1990,12
1991,13
1992,9
1993,8
1994,5
1995,8
1996,6
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
