year,Candise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,7
1948,14
1949,23
1950,14
1951,15
1952,13
1953,13
1954,17
1955,15
1956,21
1957,15
1958,11
1959,18
1960,15
1961,11
1962,10
1963,5
1964,18
1965,8
1966,11
1967,8
1968,8
1969,11
1970,12
1971,23
1972,14
1973,8
1974,15
1975,8
1976,14
1977,6
1978,15
1979,26
1980,36
1981,51
1982,59
1983,52
1984,65
1985,59
1986,36
1987,70
1988,58
1989,47
1990,37
1991,28
1992,26
1993,14
1994,8
1995,19
1996,5
1997,6
1998,6
1999,0
2000,0
2001,5
2002,7
2003,0
2004,0
2005,0
2006,0
2007,10
2008,0
2009,0
2010,0
2011,0
2012,0
