year,Clementina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,5
1902,0
1903,7
1904,5
1905,5
1906,7
1907,11
1908,17
1909,11
1910,7
1911,16
1912,13
1913,20
1914,30
1915,32
1916,42
1917,32
1918,29
1919,36
1920,43
1921,29
1922,42
1923,34
1924,37
1925,47
1926,24
1927,33
1928,37
1929,28
1930,38
1931,22
1932,19
1933,17
1934,14
1935,19
1936,13
1937,14
1938,8
1939,16
1940,15
1941,13
1942,16
1943,15
1944,8
1945,15
1946,11
1947,15
1948,7
1949,11
1950,14
1951,16
1952,16
1953,12
1954,11
1955,13
1956,8
1957,11
1958,11
1959,15
1960,10
1961,8
1962,12
1963,7
1964,9
1965,13
1966,10
1967,8
1968,13
1969,11
1970,8
1971,14
1972,13
1973,11
1974,12
1975,5
1976,11
1977,7
1978,7
1979,9
1980,12
1981,11
1982,7
1983,10
1984,7
1985,8
1986,0
1987,8
1988,5
1989,10
1990,11
1991,8
1992,7
1993,0
1994,9
1995,5
1996,9
1997,10
1998,5
1999,5
2000,6
2001,0
2002,0
2003,6
2004,9
2005,6
2006,5
2007,9
2008,6
2009,7
2010,9
2011,7
2012,8
