year,Clorinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,6
1902,5
1903,5
1904,0
1905,0
1906,0
1907,6
1908,5
1909,6
1910,10
1911,17
1912,9
1913,8
1914,13
1915,18
1916,15
1917,22
1918,12
1919,25
1920,26
1921,25
1922,29
1923,33
1924,20
1925,32
1926,23
1927,25
1928,16
1929,28
1930,18
1931,17
1932,20
1933,24
1934,14
1935,24
1936,17
1937,18
1938,21
1939,17
1940,14
1941,25
1942,23
1943,17
1944,15
1945,12
1946,21
1947,30
1948,23
1949,18
1950,14
1951,16
1952,16
1953,26
1954,19
1955,25
1956,14
1957,15
1958,13
1959,13
1960,7
1961,13
1962,19
1963,12
1964,14
1965,14
1966,10
1967,7
1968,11
1969,10
1970,14
1971,11
1972,11
1973,8
1974,6
1975,9
1976,11
1977,15
1978,7
1979,12
1980,9
1981,10
1982,9
1983,0
1984,0
1985,6
1986,6
1987,6
1988,6
1989,7
1990,0
1991,8
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
