year,Carlo (F),Carlo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000015
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000014
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000019
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000029
1909,0.000000,0.000027
1910,0.000000,0.000027
1911,0.000000,0.000043
1912,0.000000,0.000048
1913,0.000000,0.000052
1914,0.000000,0.000074
1915,0.000000,0.000061
1916,0.000000,0.000066
1917,0.000000,0.000062
1918,0.000000,0.000057
1919,0.000000,0.000058
1920,0.000000,0.000063
1921,0.000000,0.000051
1922,0.000000,0.000066
1923,0.000000,0.000073
1924,0.000000,0.000063
1925,0.000000,0.000051
1926,0.000000,0.000060
1927,0.000000,0.000065
1928,0.000000,0.000064
1929,0.000000,0.000058
1930,0.000000,0.000059
1931,0.000000,0.000059
1932,0.000000,0.000040
1933,0.000000,0.000059
1934,0.000000,0.000041
1935,0.000000,0.000045
1936,0.000000,0.000037
1937,0.000000,0.000041
1938,0.000000,0.000037
1939,0.000000,0.000033
1940,0.000000,0.000026
1941,0.000000,0.000033
1942,0.000000,0.000028
1943,0.000000,0.000024
1944,0.000000,0.000028
1945,0.000000,0.000019
1946,0.000000,0.000016
1947,0.000000,0.000021
1948,0.000000,0.000024
1949,0.000000,0.000027
1950,0.000000,0.000021
1951,0.000000,0.000024
1952,0.000000,0.000022
1953,0.000000,0.000024
1954,0.000000,0.000021
1955,0.000000,0.000022
1956,0.000000,0.000021
1957,0.000000,0.000017
1958,0.000000,0.000023
1959,0.000000,0.000028
1960,0.000000,0.000031
1961,0.000000,0.000027
1962,0.000001,0.000033
1963,0.000000,0.000030
1964,0.000000,0.000030
1965,0.000002,0.000034
1966,0.000000,0.000034
1967,0.000001,0.000037
1968,0.000000,0.000037
1969,0.000002,0.000046
1970,0.000004,0.000047
1971,0.000002,0.000060
1972,0.000003,0.000065
1973,0.000002,0.000069
1974,0.000002,0.000076
1975,0.000002,0.000059
1976,0.000000,0.000068
1977,0.000000,0.000062
1978,0.000002,0.000060
1979,0.000000,0.000052
1980,0.000002,0.000049
1981,0.000000,0.000050
1982,0.000000,0.000045
1983,0.000000,0.000045
1984,0.000000,0.000050
1985,0.000000,0.000043
1986,0.000000,0.000043
1987,0.000000,0.000033
1988,0.000000,0.000038
1989,0.000000,0.000038
1990,0.000000,0.000038
1991,0.000000,0.000039
1992,0.000000,0.000035
1993,0.000000,0.000040
1994,0.000000,0.000038
1995,0.000000,0.000041
1996,0.000000,0.000042
1997,0.000000,0.000045
1998,0.000000,0.000038
1999,0.000000,0.000039
2000,0.000000,0.000046
2001,0.000000,0.000043
2002,0.000000,0.000044
2003,0.000000,0.000048
2004,0.000000,0.000046
2005,0.000000,0.000058
2006,0.000000,0.000051
2007,0.000000,0.000056
2008,0.000000,0.000050
2009,0.000000,0.000054
2010,0.000000,0.000051
2011,0.000000,0.000053
2012,0.000000,0.000048
2013,0.000000,0.000046
2014,0.000000,0.000048
2015,0.000000,0.000039
2016,0.000000,0.000049
2017,0.000000,0.000041
2018,0.000000,0.000044
2019,0.000000,0.000043
2020,0.000000,0.000040
