year,Carlton (F),Carlton (M)
1880,0.000000,0.000065
1881,0.000000,0.000083
1882,0.000000,0.000095
1883,0.000000,0.000088
1884,0.000000,0.000082
1885,0.000000,0.000075
1886,0.000000,0.000086
1887,0.000000,0.000053
1888,0.000000,0.000063
1889,0.000000,0.000100
1890,0.000000,0.000056
1891,0.000000,0.000077
1892,0.000000,0.000063
1893,0.000000,0.000065
1894,0.000000,0.000089
1895,0.000000,0.000077
1896,0.000000,0.000087
1897,0.000000,0.000081
1898,0.000000,0.000081
1899,0.000000,0.000091
1900,0.000000,0.000084
1901,0.000000,0.000119
1902,0.000000,0.000096
1903,0.000000,0.000087
1904,0.000000,0.000116
1905,0.000000,0.000113
1906,0.000000,0.000114
1907,0.000000,0.000105
1908,0.000000,0.000098
1909,0.000000,0.000119
1910,0.000000,0.000151
1911,0.000000,0.000168
1912,0.000000,0.000203
1913,0.000000,0.000174
1914,0.000000,0.000200
1915,0.000000,0.000190
1916,0.000000,0.000204
1917,0.000000,0.000193
1918,0.000000,0.000199
1919,0.000000,0.000188
1920,0.000003,0.000194
1921,0.000000,0.000206
1922,0.000002,0.000195
1923,0.000002,0.000195
1924,0.000000,0.000181
1925,0.000003,0.000192
1926,0.000002,0.000210
1927,0.000000,0.000208
1928,0.000000,0.000244
1929,0.000002,0.000229
1930,0.000003,0.000212
1931,0.000000,0.000239
1932,0.000002,0.000249
1933,0.000000,0.000245
1934,0.000000,0.000230
1935,0.000000,0.000234
1936,0.000003,0.000232
1937,0.000000,0.000257
1938,0.000000,0.000243
1939,0.000000,0.000224
1940,0.000002,0.000214
1941,0.000000,0.000209
1942,0.000000,0.000189
1943,0.000002,0.000194
1944,0.000002,0.000180
1945,0.000000,0.000188
1946,0.000003,0.000170
1947,0.000000,0.000177
1948,0.000001,0.000158
1949,0.000000,0.000168
1950,0.000000,0.000162
1951,0.000002,0.000181
1952,0.000000,0.000183
1953,0.000002,0.000187
1954,0.000002,0.000209
1955,0.000000,0.000217
1956,0.000001,0.000220
1957,0.000002,0.000228
1958,0.000002,0.000215
1959,0.000002,0.000195
1960,0.000002,0.000204
1961,0.000002,0.000186
1962,0.000000,0.000202
1963,0.000000,0.000192
1964,0.000002,0.000200
1965,0.000002,0.000177
1966,0.000002,0.000187
1967,0.000000,0.000180
1968,0.000002,0.000178
1969,0.000005,0.000147
1970,0.000003,0.000162
1971,0.000002,0.000173
1972,0.000000,0.000148
1973,0.000000,0.000158
1974,0.000002,0.000148
1975,0.000000,0.000164
1976,0.000002,0.000130
1977,0.000000,0.000146
1978,0.000000,0.000137
1979,0.000000,0.000141
1980,0.000002,0.000128
1981,0.000001,0.000113
1982,0.000000,0.000127
1983,0.000000,0.000111
1984,0.000002,0.000105
1985,0.000000,0.000106
1986,0.000002,0.000106
1987,0.000002,0.000098
1988,0.000000,0.000103
1989,0.000000,0.000124
1990,0.000000,0.000134
1991,0.000000,0.000120
1992,0.000002,0.000114
1993,0.000002,0.000105
1994,0.000002,0.000096
1995,0.000001,0.000090
1996,0.000001,0.000078
1997,0.000000,0.000074
1998,0.000000,0.000067
1999,0.000000,0.000061
2000,0.000000,0.000060
2001,0.000000,0.000056
2002,0.000000,0.000047
2003,0.000000,0.000041
2004,0.000000,0.000036
2005,0.000000,0.000047
2006,0.000000,0.000036
2007,0.000000,0.000037
2008,0.000000,0.000033
2009,0.000000,0.000030
2010,0.000000,0.000033
2011,0.000000,0.000028
2012,0.000000,0.000027
2013,0.000000,0.000024
2014,0.000000,0.000024
2015,0.000000,0.000027
2016,0.000000,0.000022
2017,0.000000,0.000020
2018,0.000000,0.000018
2019,0.000000,0.000020
2020,0.000000,0.000018
