year,Cherryl
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,8
1939,0
1940,0
1941,11
1942,9
1943,19
1944,59
1945,58
1946,104
1947,105
1948,97
1949,77
1950,67
1951,51
1952,56
1953,47
1954,75
1955,86
1956,90
1957,72
1958,71
1959,57
1960,61
1961,46
1962,57
1963,40
1964,36
1965,43
1966,33
1967,31
1968,34
1969,20
1970,21
1971,15
1972,5
1973,13
1974,10
1975,13
1976,0
1977,6
1978,7
1979,11
1980,0
1981,0
1982,6
1983,7
1984,0
1985,0
1986,5
1987,7
1988,0
1989,0
1990,6
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
