year,Cedrick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,9
1952,0
1953,8
1954,6
1955,9
1956,16
1957,24
1958,22
1959,21
1960,26
1961,35
1962,32
1963,47
1964,34
1965,38
1966,55
1967,66
1968,41
1969,79
1970,91
1971,98
1972,114
1973,132
1974,152
1975,138
1976,155
1977,150
1978,200
1979,149
1980,196
1981,174
1982,180
1983,175
1984,158
1985,129
1986,132
1987,140
1988,131
1989,169
1990,152
1991,119
1992,124
1993,122
1994,109
1995,119
1996,142
1997,113
1998,119
1999,118
2000,106
2001,89
2002,94
2003,74
2004,77
2005,77
2006,84
2007,85
2008,75
2009,78
2010,66
2011,56
2012,47
