year,Corinn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,0
1954,0
1955,6
1956,0
1957,0
1958,6
1959,5
1960,0
1961,0
1962,0
1963,0
1964,11
1965,6
1966,0
1967,8
1968,9
1969,0
1970,8
1971,9
1972,6
1973,0
1974,0
1975,7
1976,11
1977,12
1978,31
1979,14
1980,17
1981,22
1982,13
1983,19
1984,17
1985,14
1986,11
1987,12
1988,8
1989,19
1990,21
1991,18
1992,19
1993,14
1994,18
1995,10
1996,16
1997,16
1998,19
1999,7
2000,21
2001,19
2002,28
2003,13
2004,17
2005,11
2006,5
2007,10
2008,7
2009,0
2010,17
2011,9
2012,0
