year,Camillia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,6
1941,7
1942,9
1943,13
1944,12
1945,10
1946,11
1947,7
1948,11
1949,14
1950,7
1951,0
1952,10
1953,7
1954,10
1955,9
1956,8
1957,9
1958,8
1959,14
1960,13
1961,6
1962,11
1963,11
1964,17
1965,9
1966,5
1967,19
1968,13
1969,22
1970,20
1971,28
1972,15
1973,28
1974,18
1975,22
1976,27
1977,20
1978,17
1979,26
1980,31
1981,27
1982,33
1983,29
1984,27
1985,32
1986,25
1987,59
1988,41
1989,36
1990,25
1991,26
1992,28
1993,17
1994,16
1995,12
1996,22
1997,15
1998,11
1999,14
2000,18
2001,20
2002,17
2003,15
2004,17
2005,17
2006,13
2007,13
2008,12
2009,21
2010,15
2011,11
2012,18
