year,Colin (F),Colin (M)
1880,0.000000,0.000030
1881,0.000000,0.000026
1882,0.000000,0.000023
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000027
1887,0.000000,0.000024
1888,0.000000,0.000000
1889,0.000000,0.000021
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000017
1897,0.000000,0.000023
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000020
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000010
1909,0.000000,0.000010
1910,0.000000,0.000008
1911,0.000000,0.000011
1912,0.000000,0.000012
1913,0.000000,0.000015
1914,0.000000,0.000016
1915,0.000000,0.000017
1916,0.000000,0.000022
1917,0.000000,0.000021
1918,0.000000,0.000021
1919,0.000000,0.000020
1920,0.000000,0.000019
1921,0.000000,0.000015
1922,0.000000,0.000015
1923,0.000000,0.000019
1924,0.000000,0.000017
1925,0.000000,0.000017
1926,0.000000,0.000020
1927,0.000000,0.000018
1928,0.000000,0.000023
1929,0.000000,0.000018
1930,0.000000,0.000019
1931,0.000000,0.000013
1932,0.000000,0.000021
1933,0.000000,0.000025
1934,0.000000,0.000031
1935,0.000000,0.000026
1936,0.000000,0.000022
1937,0.000000,0.000024
1938,0.000000,0.000025
1939,0.000000,0.000025
1940,0.000000,0.000025
1941,0.000000,0.000031
1942,0.000000,0.000127
1943,0.000000,0.000114
1944,0.000000,0.000088
1945,0.000000,0.000047
1946,0.000000,0.000046
1947,0.000000,0.000049
1948,0.000000,0.000064
1949,0.000000,0.000061
1950,0.000000,0.000056
1951,0.000000,0.000052
1952,0.000000,0.000052
1953,0.000000,0.000055
1954,0.000000,0.000062
1955,0.000000,0.000064
1956,0.000000,0.000069
1957,0.000000,0.000064
1958,0.000000,0.000068
1959,0.000000,0.000077
1960,0.000002,0.000071
1961,0.000000,0.000086
1962,0.000000,0.000087
1963,0.000001,0.000099
1964,0.000000,0.000101
1965,0.000000,0.000125
1966,0.000000,0.000117
1967,0.000000,0.000132
1968,0.000000,0.000148
1969,0.000003,0.000168
1970,0.000002,0.000172
1971,0.000002,0.000193
1972,0.000002,0.000182
1973,0.000002,0.000186
1974,0.000002,0.000220
1975,0.000000,0.000234
1976,0.000003,0.000259
1977,0.000004,0.000261
1978,0.000002,0.000300
1979,0.000004,0.000343
1980,0.000004,0.000348
1981,0.000005,0.000355
1982,0.000002,0.000438
1983,0.000003,0.000450
1984,0.000005,0.000506
1985,0.000005,0.000487
1986,0.000005,0.000475
1987,0.000005,0.000582
1988,0.000004,0.000611
1989,0.000004,0.000677
1990,0.000005,0.000704
1991,0.000004,0.000589
1992,0.000003,0.000684
1993,0.000004,0.000768
1994,0.000002,0.000758
1995,0.000001,0.000718
1996,0.000003,0.000810
1997,0.000003,0.000855
1998,0.000002,0.000837
1999,0.000002,0.000835
2000,0.000002,0.000862
2001,0.000003,0.000847
2002,0.000000,0.000887
2003,0.000002,0.001283
2004,0.000007,0.001342
2005,0.000002,0.001180
2006,0.000001,0.000976
2007,0.000002,0.000904
2008,0.000000,0.000950
2009,0.000000,0.000959
2010,0.000000,0.000946
2011,0.000002,0.000896
2012,0.000000,0.000828
2013,0.000000,0.000838
